date,home_team,away_team,home_score,away_score,home_odds,away_odds,overtime,home_win,total_points,point_diff,season,home_r3_win_pct,home_r3_pts_scored,home_r3_pts_allowed,home_r3_point_diff,home_r3_cover_rate,home_r5_win_pct,home_r5_pts_scored,home_r5_pts_allowed,home_r5_point_diff,home_r5_cover_rate,home_r8_win_pct,home_r8_pts_scored,home_r8_pts_allowed,home_r8_point_diff,home_r8_cover_rate,home_r11_win_pct,home_r11_pts_scored,home_r11_pts_allowed,home_r11_point_diff,home_r11_cover_rate,home_home_rolling_win_pct,home_away_rolling_win_pct,home_games_last_7d,home_venue_streak,away_r3_win_pct,away_r3_pts_scored,away_r3_pts_allowed,away_r3_point_diff,away_r3_cover_rate,away_r5_win_pct,away_r5_pts_scored,away_r5_pts_allowed,away_r5_point_diff,away_r5_cover_rate,away_r8_win_pct,away_r8_pts_scored,away_r8_pts_allowed,away_r8_point_diff,away_r8_cover_rate,away_r11_win_pct,away_r11_pts_scored,away_r11_pts_allowed,away_r11_point_diff,away_r11_cover_rate,away_home_rolling_win_pct,away_away_rolling_win_pct,away_games_last_7d,away_venue_streak
2023-11-06,San Antonio Spurs,Toronto Raptors,116,123,2.44,1.59,True,False,239,-7,2023-2024,0.6666666666666666,110.0,119.33333333333333,-9.333333333333334,0.0,0.6,115.0,121.2,-6.2,0.2,,,,,,,,,,,0.5,0.5,2,0,0.3333333333333333,106.66666666666667,108.0,-1.3333333333333333,0.0,0.2,106.0,108.4,-2.4,0.0,,,,,,,,,,,0.3333333333333333,0.0,3,1
2023-11-06,Cleveland Cavaliers,Golden State Warriors,115,104,1.87,1.98,False,True,219,11,2023-2024,0.3333333333333333,100.66666666666667,106.33333333333333,-5.666666666666667,0.0,0.2,104.0,110.4,-6.4,0.0,,,,,,,,,,,0.0,1.0,3,0,1.0,124.33333333333333,114.0,10.333333333333334,0.6666666666666666,1.0,120.2,110.2,10.0,0.6,,,,,,,,,,,0.0,1.0,3,1
2023-11-06,Dallas Mavericks,Charlotte Hornets,124,118,1.17,5.38,False,True,242,6,2023-2024,0.6666666666666666,117.66666666666667,113.33333333333333,4.333333333333333,0.3333333333333333,0.8,120.8,115.8,5.0,0.6,,,,,,,,,,,1.0,1.0,3,0,0.3333333333333333,121.66666666666667,128.33333333333334,-6.666666666666667,0.0,0.4,116.0,121.2,-5.2,0.0,,,,,,,,,,,0.5,0.5,3,2
2023-11-06,Portland Trail Blazers,Memphis Grizzlies,100,112,2.32,1.65,False,False,212,-12,2023-2024,1.0,108.0,101.66666666666667,6.333333333333333,0.0,0.6,103.8,106.6,-2.8,0.0,,,,,,,,,,,0.5,0.3333333333333333,3,1,0.0,110.66666666666667,124.33333333333333,-13.666666666666666,0.0,0.0,108.4,118.8,-10.4,0.0,,,,,,,,,,,0.0,0.0,3,2
2023-11-07,New York Knicks,Los Angeles Clippers,111,97,1.83,2.02,False,True,208,14,2023-2024,0.3333333333333333,101.0,98.66666666666667,2.3333333333333335,0.3333333333333333,0.4,103.2,102.4,0.8,0.4,,,,,,,,,,,0.0,0.6666666666666666,3,0,0.6666666666666666,122.0,105.0,17.0,0.6666666666666666,0.6,121.4,109.2,12.2,0.6,,,,,,,,,,,1.0,0.0,2,1
2023-11-07,Denver Nuggets,New Orleans Pelicans,134,116,1.4,3.07,False,True,250,18,2023-2024,0.6666666666666666,112.33333333333333,108.33333333333333,4.0,0.6666666666666666,0.8,115.0,104.4,10.6,0.8,,,,,,,,,,,1.0,1.0,3,2,0.6666666666666666,113.33333333333333,115.0,-1.6666666666666667,0.3333333333333333,0.6,107.6,112.4,-4.8,0.4,,,,,,,,,,,0.6666666666666666,1.0,3,0
2023-11-07,Oklahoma City Thunder,Atlanta Hawks,126,117,1.9,1.95,False,True,243,9,2023-2024,0.3333333333333333,123.0,121.0,2.0,0.3333333333333333,0.4,114.4,119.2,-4.8,0.2,,,,,,,,,,,0.25,1.0,2,4,1.0,126.66666666666667,113.0,13.666666666666666,0.3333333333333333,0.8,125.4,115.0,10.4,0.2,,,,,,,,,,,0.5,0.6666666666666666,2,1
2023-11-07,Chicago Bulls,Utah Jazz,130,113,1.57,2.5,False,True,243,17,2023-2024,0.0,104.33333333333333,115.33333333333333,-11.0,0.0,0.2,105.4,113.8,-8.4,0.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,3,0,0.3333333333333333,113.66666666666667,115.66666666666667,-2.0,0.3333333333333333,0.2,109.4,116.6,-7.2,0.2,,,,,,,,,,,0.6666666666666666,0.0,3,1
2023-11-07,Houston Rockets,Sacramento Kings,122,97,2.11,1.77,False,True,219,25,2023-2024,0.6666666666666666,110.0,104.66666666666667,5.333333333333333,0.3333333333333333,0.4,107.6,111.2,-3.6,0.2,,,,,,,,,,,0.6666666666666666,0.0,2,3,0.3333333333333333,107.33333333333333,112.0,-4.666666666666667,0.3333333333333333,0.4,113.2,114.4,-1.2,0.4,,,,,,,,,,,0.0,0.3333333333333333,2,2
2023-11-07,Minnesota Timberwolves,Boston Celtics,114,109,2.36,1.63,True,True,223,5,2023-2024,0.6666666666666666,115.33333333333333,103.66666666666667,11.666666666666666,0.3333333333333333,0.6,109.2,99.6,9.6,0.4,,,,,,,,,,,1.0,0.0,2,2,1.0,135.0,108.33333333333333,26.666666666666668,1.0,1.0,126.4,108.0,18.4,1.0,,,,,,,,,,,1.0,1.0,2,1
